id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
11,Environmental Clearance to Developmental Projects,"['Raut, Shri Vinayak Bhaurao', 'Patil, Shri Hemant Shriram']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) the details of developmental projects of Maharashtra Government awaiting environmental clearance from the Union Government; (b) the average time taken in deciding on the clearance for developmental activities like roads and bridges; (c) the number and other details of National Highway projects stuck/stopped so far due to non-clearance from the Ministry; and (d) the details of actions taken by the Union Government to fast-track decisions on clearance requests on such development projects?",2021-11-29,STARRED,"['Shiv Sena', 'Shiv Sena']","['Maharashtra', 'Maharashtra']","['Ratnagiri-Sindhudurg', 'Hingoli']","['', '']"
12,Bitcoin Transactions,"['Ambareesh, Smt. Sumalatha', 'Suresh, Shri Doddaalahalli Kempegowda']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government is aware that Bitcoin transaction is silently blooming in India in the recent years; (b) if so, the details thereof and the response of the Government in this regard; (c) whether the Government has any proposal to recognise Bitcoin as a currency in the country; and (d) if so, the details thereof?",2021-11-29,STARRED,"['Independent', 'Indian National Congress']","['Karnataka', 'Karnataka']","['Mandya', 'Bangalore Rural']","['', '']"
13,Funds Allocated for Welfare of Tea Workers,"['Das, Shri Pallab Lochan']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether it is a fact that in Budget 2021 the Government declared to provide Rs. 1000/- crore for the welfare of tea workers of Assam and West Bengal; (b) if so, the details of the funds allocated to the respective States; and (c) if no funds have been allocated so far, the reasons therefor? .",2021-11-29,STARRED,['Bharatiya Janata Party'],['Assam'],['Tezpur'],['']
14,Seva Bhoj Yojana,"['Sinha, Shri Jayant']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) the objectives of the Seva Bhoj Yojana; (b) applications received, processed and accepted under the scheme so far, State-wise; (c) applications received and accepted from the State of Jharkhand, district-wise including Hazaribagh and Ramgarh districts; and (d) whether the Government is planning any initiatives to create awareness on the scheme and if so, the details thereof?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Jharkhand'],['Hazaribagh'],['']
15,Fund Allocation to States,"['Jaiswal, Dr. Sanjay']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) the details of the funds allocated by the Union Government to States including Bihar for various schemes during the last five years; (b) the amount of funds spent by States so far; (c) whether the Government has an existing auditing mechanism to look into the amount of funds not utilised so far along with the reasons for non-utilisation of the entire funds; (d) if so, the details thereof; and (e) the steps taken by the Government to ensure timely utilisation of the entire funds by States?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Bihar'],['Paschim Champaran'],['']
16,Status of Classical Language to Marathi,"['Shetty, Shri Gopal Chinayya']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) whether the proposal received from the Government of Maharashtra for providing status of Classical Language to Marathi language was sent to the Committee of Linguistic Experts for its consideration; (b) if so, the date on which this proposal was received from the Government of Maharashtra and the date on which it was presented to the Committee of Linguistic Experts for its consideration; (c) whether the said Committee has submitted its report to the Government and if so, the date on which this report was received by the Government alongwith the details of the recommendations made by the Committee; and (d) the details of action taken by the Government on the recommendations of the Expert Committee? 4",2021-11-29,STARRED,['Bharatiya Janata Party'],['Maharashtra'],['Mumbai-North'],['']
17,Settlement of Insurance Claims,"['Jaunapuria, Shri Sukhbir Singh']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether any time limit has been fixed/prescribed for making payment of insurance amount to the victims/ affected families by public/private sector insurance companies in the case of injuries/death in road accidents; (b) if so, the details thereof; (c) the details of the claims reported by the Life Insurance Companies, General Insurance Companies and Motor Accident Claims Tribunals and the details of the maximum and minimum compensation paid to the families of road accident victims during each of the last five years and the current year, company-wise and State- wise; (d) whether the Government has taken any steps for speedy settlement of insurance claims and if so, the details thereof; and (e) whether the compensation amount has been increased under the New Motor Vehicles Act, if so, the details thereof and if not, the reasons therefor?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Rajasthan'],['Tonk-Sawai Madhopur'],['']
18,Lockdown-related Job Losses among Women,"['Singh, Shri Brijendra']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether the Government is aware of disproportionately high levels of lockdown-related job losses among women, whose employment was more severely impacted than men by the Covid-19 pandemic; NEW DELHI; November 24, 2021 Agrahayana 3, 1943 (Saka) . (b) if so, the details regarding the number of women who have lost their jobs due to the Covid-19 pandemic, State-wise; (c) whether the Government plans to formulate measures to boost womens employment in view of the said situation; and (d) if so, the details thereof?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Haryana'],['Hisar'],['']
19,Funds for Education/HRD Schemes,"['Joshi, Prof. Rita Bahuguna']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has taken adequate steps for facilitating education/human resource development for the people so that they can avail the benefits of various welfare schemes of the Government; and (b) if so, the details thereof including allocation of funds and number of beneficiaries during 2018-2019, 2019-2020 and 2020-2021, State/UT-wise?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Allahabad'],['']
20,Capital Expenditure and Infrastructure Progress,"['Madhav, Shri Kuruva Gorantla', 'Sridhar, Shri Kotagiri']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government has undertaken any steps recently to give a boost to the capital expenditure and infrastructure progress in the country; (b) if so, the details thereof; and (c) the details of the capital expenditure achievements in this regard in the first 2 quarters i.e. Q1 and Q2 of the current financial year? UTPAL KUMAR SINGH Secretary General",2021-11-29,STARRED,"['Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party']","['Andhra Pradesh', 'Andhra Pradesh']","['Hindupur', 'Eluru']","['', '']"
1,Employment Guarantee and Livelihood for Urban Poor,"['Bista, Shri Raju']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) the level of year-wise unemployment in the country during the last five years; (b) whether the Government proposes to start any scheme to ensure wages, employment guarantee and livelihood for urban poor in the wake of COVID pandemic; and (c) the total number of Atal Pension Yojana accounts opened in West Bengal, particularly in the districts of Darjeeling and Kalimpong along with the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['West Bengal'],['Darjeeling'],['']
2,Tribal Sub Plan,"['Singh, Shri Nayab', 'Singh, Shri Uday Pratap', 'Katheria, Prof. (Dr.) Ram Shankar']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether the Government has received proposals from the State Government of Madhya Pradesh, Haryana and Uttar Pradesh under the Tribal Sub Plan, special central assistance item and under post-matric and pre- matric schemes; (b) if so, the present status of the said proposals along with the details thereof; and (c) the reasons for pendency of the said proposals?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Haryana', 'Madhya Pradesh', 'Uttar Pradesh']","['Kurukshetra', 'Hoshangabad', 'Etawah']","['', '', 'SC']"
3,Preservation of Saura Tribe and their Language,"['Samanta, Shri Achyutananda']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: . (a) whether the Government is aware of the Saura (Sabar) tribe from the Gajapati and Koraput districts of Odisha and their script Sora Sompeng; (b) if so, the steps being taken by the Government to save the Saura language from the threat of extinction which will be detrimental for their distinct ethnic identity; (c) if not, the reasons therefor; (d) whether the children of the above-mentioned community are forced to drop out of school as they are unable to understand Odia and other languages in which being taught, if so the details thereof and the steps being taken by the Government in this regard; (e) whether the Government is planning to officially recognise the Saura (Sabar) language by including it in the 8th Schedule of the Indian Constitution and if so, the details thereof and if not, the reasons therefor?",2021-11-29,UNSTARRED,['Biju Janata Dal'],['Odisha'],['Kandhamal'],['']
4,Circuits Based on State’s Cultural Heritage,"['Jolle, Shri Annasaheb Shankar', 'Surya, Shri L.S. Tejasvi', 'Raghavendra, Shri B. Y.', 'Simha, Shri Prathap', 'Karadi, Shri Sanganna Amarappa', 'Jadhav, Dr. Umesh G.']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the ministry is planning to start any circuits based on the cultural heritage of the States; and (b) if so, the details thereof and if not, the reasons therefor?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Karnataka', 'Karnataka', 'Karnataka', 'Karnataka', 'Karnataka', 'Karnataka']","['Chikkodi', 'Bangalore South', 'Shimoga', 'Mysore', 'Koppal', 'Gulbarga']","['', '', '', '', '', 'SC']"
5,Ban  on  single  use  plastics,"['Tatkare, Shri Sunil Dattatray', 'Sule, Smt. Supriya Sadanand', 'Kolhe, Dr. Amol Ramsing', 'Bhamre, Dr. Subhash Ramrao', 'Sharma, Shri Kuldeep Rai', 'DNV Senthilkumar S, Dr.']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , 2 be pleased to state: (a) whether the Union Government proposes to impose a ban on single use polythene bags and disposable items made of substandard plastic and polystyrene in the country and if so, the details thereof; (b) whether the Government is conducting any public awareness campaign in this regard and if so, the details thereof; (c) whether the Government has formulated any norms/guidelines for the ban on single use plastics and if so, the details thereof; (d) whether it is a fact that 40 per cent of total plastic waste remains uncollected in India and if so the details thereof and reasons therefor; (e) whether various States have adopted separate norms for imposing ban on polythene bags in their States and if so, the reasons therefor; (f) if so, whether the Government is considering any uniform norms for all States in this regard and if so, the details thereof;and (g) the measures taken by the Government for management and safe disposal of plastic waste including plastic packaging in the country specially in Andaman and Nicobar Islands?",2021-11-29,UNSTARRED,"['Nationalist Congress Party', 'Nationalist Congress Party', 'Nationalist Congress Party', 'Bharatiya Janata Party', 'Indian National Congress', 'Dravida Munnetra Kazhagam']","['Maharashtra', 'Maharashtra', 'Maharashtra', 'Maharashtra', 'Andaman and Nicobar Islands', 'Tamil Nadu']","['Raigad', 'Baramati', 'Shirur', 'Dhule', 'Andaman and Nicobar Islands', 'Dharmapuri']","['', '', '', '', '', '']"
6,Funds to Vanbandhu Kalyan Yojana,"['Chellakumar, Dr. A.']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) the details of States where the Vanbandhu Kalyan Yojana is being implemented? (b) the details of funds released by Government under this programme since its commencement and the utilization of such funds, State-wise including Tamil Nadu? (c) whether the economic standard of tribals is being improved positively by the said scheme? (d) whether the said scheme has been successful in achieving its objective? and (e) if so, the details thereof?",2021-11-29,UNSTARRED,['Indian National Congress'],['Tamil Nadu'],['Krishnagiri'],['']
7,Opening of Universities in Backward District,"['Dharambir Singh, Shri']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) the funds allocated and utilised for the development of state-level educational institutions under Rashtriya Uchchatar Sikhsha Abhiyan (RUSA) during the last three years and the current year so far, State- wise /Union Territory-wise including Haryana; . (b) whether the Government has any plan to open Universities in backward districts of the country under the RUSA; (c) if so, the details thereof; and (d) the time by when these Universities are likely to be opened in these backward districts of the country including Haryana?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Haryana'],['Bhiwani-Mahendragarh'],['']
8,Skill Development Schemes in Uttar Pradesh and NER,"['Sharma, Shri Anurag', 'Tripura, Shri Rebati']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) the details of Skill Development schemes currently being implemented in Uttar Pradesh specially in Jhansi and Lalitpur and North Eastern Region especially in Tripura during last two years; (b) whether the Government proposes to formulate schemes specially for the skill development in remote/ tribal areas and if so, the details thereof; and (c) the amount of funds allocated by the Union Government to Uttar Pradesh and North Eastern Region (NER) for the said schemes?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Tripura']","['Jhansi', 'Tripura East']","['', 'ST']"
9,Study by CCI,"['Reddy, Shri P.V. Midhun', 'Sridhar, Shri Kotagiri', 'Patil, Shri Sanjay(Kaka) Ramchandra', 'Nallakonda Gari, Shri Reddeppa', 'Bellana, Shri Chandra Sekhar']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) whether the Competition Commission of India (CCI) has recently conducted a market study of the Pharmaceutical Sector to evaluate whether the prices of essential drugs had shot up during the second wave of the COVID-19 pandemic; (b) if so, the details thereof; (c) whether the CCI has recommended any corrective measures to the Government; and (d) if so, the details thereof along with the action taken by the Government thereon?",2021-11-29,UNSTARRED,"['Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party', 'Bharatiya Janata Party', 'Yuvajana Sramika Rythu Congress Party', 'Yuvajana Sramika Rythu Congress Party']","['Andhra Pradesh', 'Andhra Pradesh', 'Maharashtra', 'Andhra Pradesh', 'Andhra Pradesh']","['Rajampet', 'Eluru', 'Sangli', 'Chittoor', 'Vizianagaram']","['', '', '', 'SC', '']"
10,Use of Fake Scheduled Tribe Certificate,"['Nete, Shri Ashok Mahadeorao']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: 3 (a) whether any case regarding use of fake of scheduled Tribe certificates in Government jobs and educational institutions have been reported during the last three years ; (b) if so, the details thereof; and (c) action taken by the Government in this regard?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Maharashtra'],['Gadchiroli-Chimur'],['ST']
11,Migrant Labourers during COVID-19,"['Solanky, Shri Mahendra Singh', 'Ray, Smt. Sandhya', 'Gupta, Shri Sangamlal Kadedin', 'Chaudhary, Shri P.P.', 'Singh, Shri Rajbahadur', 'Yadav, Dr. Krishnapal Singh']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) the number of migrant labourers in Madhya Pradesh, Uttar Pradesh and Rajasthan who had returned during COVID-19 lockdowns; (b) the number of districts of Madhya Pradesh covered under Pradhan Mantri Kaushal Vikas Yojana; (c) the number of migrant labourers in Madhya Pradesh, Uttar Pradesh and Rajasthan who were imparted skill development training under Pradhan Mantri Kaushal Vikas Yojana, district-wise; (d) the sector-wise details of job opportunities that are provided to migrant labourers after training under PMKVY; and (e) the details of the number of migrant labourers placed in each sector, district wise and State-wise?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party', 'Bharatiya Janata Party']","['Madhya Pradesh', 'Madhya Pradesh', 'Uttar Pradesh', 'Rajasthan', 'Madhya Pradesh', 'Madhya Pradesh']","['Dewas', 'Bhind', 'Pratapgarh', 'Pali', 'Sagar', 'Guna']","['SC', 'SC', '', '', '', '']"
12,Social Security  Scheme,"['Tagore B., Shri Manickam']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether it is a fact that the Government is considering implementing the Code on Social Security, 2020 and bringing a large number of workers under the ambit of social security schemes; (b) if so, the details thereof; (c) whether it is also true that the Government has held discussions with Employees State Insurance Corporation and other stakeholders; (d) whether it is also a fact that the rules framed under the Act have not been notified; and (e) whether it is also a fact that the Government has not been able to commit to the deadline for implementation of the Code on Social Security, 2020?",2021-11-29,UNSTARRED,['Indian National Congress'],['Tamil Nadu'],['Virudhunagar'],['']
13,Protection of Gig/Unorganised/Platform Workers,"['Misra, Shri Pinaki']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether there are any law/guidelines/rules/ regulations for protection of gig/unorganised/platform workers and for their social security; if so, the details of the respective provisions; (b) whether the Government is considering to include platform/gig workers under the code on industrial disputes, if so, the details of the draft provisions and if not, the reasons therefor; and (c) whether the Government has considered to come up with schemes on social security rights for gig/ unorganised/platform workers under The Social Security Code, 2020 and if so, the details of the schemes including the expected date of its introduction and if not, the reasons therefor?",2021-11-29,UNSTARRED,['Biju Janata Dal'],['Odisha'],['Puri'],['']
14,Protection of Tribal Education and Culture,"['Patel, Shri Gajendra Singh']",TRIBAL AFFAIRS,Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether any special schemes are being run for the protection of tribal education and culture; (b) whether any special centers will be set up of the preservation for tribal culture; and (c) the State-wise details of the places where the centres related to tribal cultures are being set up?,2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Khargone'],['ST']
15,National Policy for Skill Development,"['Pasunoori, Shri Dayakar', 'Maloth, Smt. Kavitha', 'Reddy, Dr. Gaddam Ranjith', 'Borlakunta, Shri Venkatesh Netha']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) whether the Government is in the process of revamping the National Policy for Skill Development and Entrepreneurship; and (b) if so, details thereof and whether the proposed revamp will improve the productivity to match global standards?",2021-11-29,UNSTARRED,"['Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi']","['Telangana', 'Telangana', 'Telangana', 'Telangana']","['Warangal', 'Mahabubabad', 'Chevella', 'Peddapalle']","['SC', 'ST', '', 'SC']"
16,Impact of US Advisory on Tourism Sector,"['Antony, Shri Anto']",TOURISM,"Will the Minister of TOURISM 4 be pleased to state: (a) whether the Government has noticed that the US Government has issued a level 3 travel advisory to its citizens especially women to not to travel to India; (b) if so, the details and the reasons thereto; (c) whether the Government has taken up the issue with the US Government; (d) if so, the details thereof and if not, the reasons therefor; (e) whether such advisory has an adverse impact on Indian tourism sector; and (f) if so, the details and the steps taken by the Government in this regard?",2021-11-29,UNSTARRED,['Indian National Congress'],['Kerala'],['Pathanamthitta'],['']
17,Aazadi Ka Amrit Mahotsav,"['Singh, Shri Sunil Kumar', 'Naik Nimbalkar, Shri Ranjeetsingh']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) the details of the programmes organised under the Amrit Mahotsav of Independence, that have been organized by the Ministry and by the Central Public Sector Undertakings under the Ministry of Culture and other ministeries of Government of India; and (b) the details of the proposed programmes in the coming days under the Amrit Mahotsav?",2021-11-29,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Jharkhand', 'Maharashtra']","['Chatra', 'Madha']","['', '']"
18,Establishment of CSP Mechanism,"['Patel, Shri Hasmukhbhai Somabhai']",CORPORATE AFFAIRS,"Will the Minister of CORPORATE AFFAIRS be pleased to state: (a) whether the Government has recently established Centralized Scrutiny and Prosecution (CSP) mechanism to monitor the CSR utilisation compliance by various companies; and (b) if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Gujarat'],['Ahmedabad East'],['']
19,Skill Development Institute for Youth,"['Goswami, Shri Dulal Chandra', 'Sagar, Shri Arun Kumar']",SKILL DEVELOPMENT AND ENTREPRENEURSHIP,"Will the Minister of SKILL DEVELOPMENT AND ENTREPRENEURSHIP be pleased to state: (a) whether the Government has taken/ proposes to take steps to set up Skill Development Centres in backward and rural areas in the State of Bihar including Katihar and Shahjahanpur Parliamentary Constituencies in Uttar Pradesh; . (b) if so, the details thereof; and (c) the details of the progress made in this regard so far?",2021-11-29,UNSTARRED,"['Janata Dal (United)', 'Bharatiya Janata Party']","['Bihar', 'Uttar Pradesh']","['Katihar', 'Shahjahanpur']","['', 'SC']"
20,KVs/JNVs for Differently abled Children,"['Bhatia, Shri Sanjay']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government has made any provisions for differently abled children in Kendriya Vidyalayas/ Navodaya Vidyalayas and if so, the details thereof; (b) whether any scheme or new education system is being devised by the Government so as to enable them to get better education policy for differently abled children and if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Haryana'],['Karnal'],['']
21,Fall in Demand of Products,"['Maran, Thiru Dayanidhi']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Ministry has held any consultations or reports to study fall in demand for various products since the onset of COVID-19 pandemic and if so, the details thereof; (b) whether the Ministry has received any representations from Industry bodies or groups of businesses/vendors regarding fall in demand for their products or lowered sales after the onset of the COVID- 19 pandemic and requests for help and if so, the details thereof; and (c) whether the Ministry has plans to reduce GST rates on essential commodities and household goods and supplies to increase affordability and thereby demand for various products and if so, the details thereof?",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Chennai Central'],['']
22,Unemployment rate in Rural and Urban Areas,"['Kalanidhi, Dr. Veeraswamy']",LABOUR AND EMPLOYMENT,"Will the Minister of LABOUR AND EMPLOYMENT be pleased to state: (a) whether the Government is aware that over 1.5 million people from both the formal and informal sectors lost their jobs during the last two-three months as the unemployment rate rose in rural and urban India; (b) whether the Government is also aware that the Countrys unemployment has risen to an alarming stage; if so, the details and the reasons therefore; (c) whether the Government has made any plan to improve its scenario across the country; and (d) if so, the details thereof and if not, the reasons therefore? 5",2021-11-29,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Chennai North'],['']
23,Rejuvenation and Beautification of Bijli  Pasi  Quila,"['Rawat, Shri Upendra Singh']",CULTURE,"Will the Minister of CULTURE be pleased to state: (a) the amount of funds released by the Union Government at present for the conservation and maintenance of the historical monuments particularly Bijli Pasi Quila including those in Barabanki and Lucknow; (b) if so, the details thereof; (c) the proposals approved by the Government for the rejuvenation and beautification of the Bijli Pasi Quila and the famous Mahadeva Temple, Barabanki of the Pandav era; and (d) if so, the details thereof?",2021-11-29,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Barabanki'],['SC']
